
# Surface 0 of 1 surfaces

# Curve title: ""tikz/kegelschnitt_visualisierung_contourtmp0.dat""

# Contour 0, label:        1
-5  1.2826  1 
-4.79593  1.22571  1 
-4.59186  1.16822  1 
-4.42839  1.1221  1 
-4.38779  1.11034  1 
-4.18372  1.05299  1 
-3.97965  0.994886  1 
-3.77558  0.935898  1 
-3.71207  0.918029  1 
-3.57151  0.87721  1 
-3.36744  0.818079  1 
-3.16337  0.757745  1 
-3.01565  0.713959  1 
-2.9593  0.696615  1 
-2.75523  0.635624  1 
-2.55116  0.57282  1 
-2.35346  0.509889  1 
-2.34709  0.507766  1 
-2.14302  0.443068  1 
-1.93895  0.375152  1 
-1.7426  0.305819  1 
-1.73488  0.302925  1 
-1.53081  0.22959  1 
-1.32674  0.148819  1 
-1.21383  0.101749  1 
-1.12267  0.0602948  1 
-0.918601 -0.0396635  1 
-0.80586 -0.102321  1 
-0.71453 -0.159419  1 
-0.518603 -0.306391  1 
-0.51046 -0.31337  1 
-0.313371 -0.51046  1 
-0.306391 -0.518603  1 
-0.159419 -0.71453  1 
-0.102321 -0.80586  1 
-0.0396635 -0.9186  1 
 0.0602948 -1.12267  1 
 0.101749 -1.21383  1 
 0.148819 -1.32674  1 
 0.22959 -1.53081  1 
 0.302925 -1.73488  1 
 0.305819 -1.7426  1 
 0.375153 -1.93895  1 
 0.443068 -2.14302  1 
 0.507766 -2.34709  1 
 0.509889 -2.35346  1 
 0.57282 -2.55116  1 
 0.635624 -2.75523  1 
 0.696615 -2.9593  1 
 0.713959 -3.01565  1 
 0.757745 -3.16337  1 
 0.818078 -3.36744  1 
 0.877209 -3.57151  1 
 0.918029 -3.71207  1 
 0.935898 -3.77558  1 
 0.994886 -3.97965  1 
 1.05299 -4.18372  1 
 1.11034 -4.38779  1 
 1.1221 -4.42839  1 
 1.16822 -4.59186  1 
 1.22571 -4.79593  1 
 1.2826 -5  1 

-1.28245  4.99943  1 
-1.22555  4.79536  1 
-1.16805  4.59129  1 
-1.12267  4.43034  1 
-1.11019  4.38722  1 
-1.05283  4.18315  1 
-0.99472  3.97908  1 
-0.935724  3.77501  1 
-0.9186  3.7141  1 
-0.87705  3.57094  1 
-0.81791  3.36687  1 
-0.757567  3.1628  1 
-0.71453  3.0175  1 
-0.696455  2.95873  1 
-0.635453  2.75466  1 
-0.572636  2.55059  1 
-0.51046  2.3551  1 
-0.507601  2.34652  1 
-0.442888  2.14245  1 
-0.374952  1.93838  1 
-0.306391  1.74403  1 
-0.302745  1.73431  1 
-0.229382  1.53024  1 
-0.148566  1.32617  1 
-0.102321  1.21513  1 
-0.0600553  1.1221  1 
 0.0399861  0.918029  1 
 0.101749  0.806814  1 
 0.159765  0.713959  1 
 0.305819  0.519187  1 
 0.313788  0.509889  1 
 0.509889  0.313788  1 
 0.519187  0.305819  1 
 0.713959  0.159765  1 
 0.806814  0.101749  1 
 0.918029  0.0399861  1 
 1.1221 -0.0600553  1 
 1.21513 -0.102321  1 
 1.32617 -0.148566  1 
 1.53024 -0.229381  1 
 1.73431 -0.302745  1 
 1.74403 -0.306391  1 
 1.93838 -0.374952  1 
 2.14245 -0.442888  1 
 2.34652 -0.507602  1 
 2.3551 -0.51046  1 
 2.55059 -0.572636  1 
 2.75466 -0.635454  1 
 2.95873 -0.696456  1 
 3.01749 -0.71453  1 
 3.1628 -0.757567  1 
 3.36687 -0.817911  1 
 3.57094 -0.87705  1 
 3.7141 -0.9186  1 
 3.77501 -0.935724  1 
 3.97908 -0.99472  1 
 4.18315 -1.05283  1 
 4.38722 -1.11019  1 
 4.43034 -1.12267  1 
 4.59129 -1.16805  1 
 4.79536 -1.22555  1 
 4.99943 -1.28245  1 

